trajectory_id,time_step,S,I,R
0,0,80,3,0
0,1,78,4,1
0,2,75,7,1
0,3,69,12,2
0,4,64,15,4
0,5,58,20,5
0,6,51,25,7
0,7,43,30,10
0,8,35,37,11
0,9,29,37,17
0,10,22,41,20
0,11,15,45,23
0,12,12,43,28
0,13,9,40,34
0,14,7,39,37
0,15,6,36,41
0,16,5,34,44
0,17,4,32,47
0,18,3,31,49
0,19,3,28,52
0,20,3,23,57
0,21,3,21,59
0,22,2,20,61
0,23,2,17,64
0,24,2,16,65
0,25,2,14,67
0,26,2,13,68
0,27,2,11,70
0,28,1,11,71
0,29,1,9,73
0,30,0,9,74
0,31,0,7,76
0,32,0,6,77
0,33,0,4,79
0,34,0,3,80
0,35,0,3,80
0,36,0,3,80
0,37,0,3,80
0,38,0,3,80
0,39,0,3,80
0,40,0,3,80
0,41,0,3,80
0,42,0,3,80
0,43,0,3,80
0,44,0,3,80
0,45,0,3,80
0,46,0,2,81
0,47,0,2,81
0,48,0,1,82
0,49,0,0,83
0,50,0,0,83
0,51,0,0,83
0,52,0,0,83
0,53,0,0,83
0,54,0,0,83
0,55,0,0,83
0,56,0,0,83
0,57,0,0,83
0,58,0,0,83
0,59,0,0,83
0,60,0,0,83
1,0,55,1,0
1,1,55,1,0
1,2,55,1,0
1,3,55,1,0
1,4,54,1,1
1,5,54,0,2
1,6,54,0,2
1,7,54,0,2
1,8,54,0,2
1,9,54,0,2
1,10,54,0,2
1,11,54,0,2
1,12,54,0,2
1,13,54,0,2
1,14,54,0,2
1,15,54,0,2
1,16,54,0,2
1,17,54,0,2
1,18,54,0,2
1,19,54,0,2
1,20,54,0,2
1,21,54,0,2
1,22,54,0,2
1,23,54,0,2
1,24,54,0,2
1,25,54,0,2
1,26,54,0,2
1,27,54,0,2
1,28,54,0,2
1,29,54,0,2
1,30,54,0,2
1,31,54,0,2
1,32,54,0,2
1,33,54,0,2
1,34,54,0,2
1,35,54,0,2
1,36,54,0,2
1,37,54,0,2
1,38,54,0,2
1,39,54,0,2
1,40,54,0,2
1,41,54,0,2
1,42,54,0,2
1,43,54,0,2
1,44,54,0,2
1,45,54,0,2
1,46,54,0,2
1,47,54,0,2
1,48,54,0,2
1,49,54,0,2
1,50,54,0,2
1,51,54,0,2
1,52,54,0,2
1,53,54,0,2
1,54,54,0,2
1,55,54,0,2
1,56,54,0,2
1,57,54,0,2
1,58,54,0,2
1,59,54,0,2
1,60,54,0,2
2,0,95,3,0
2,1,94,4,0
2,2,94,4,0
2,3,94,4,0
2,4,92,6,0
2,5,91,6,1
2,6,90,7,1
2,7,83,14,1
2,8,74,21,3
2,9,70,22,6
2,10,62,27,9
2,11,52,35,11
2,12,41,42,15
2,13,33,45,20
2,14,19,56,23
2,15,15,51,32
2,16,11,52,35
2,17,8,49,41
2,18,3,49,46
2,19,3,42,53
2,20,3,39,56
2,21,3,38,57
2,22,2,38,58
2,23,2,33,63
2,24,2,31,65
2,25,2,27,69
2,26,2,20,76
2,27,2,19,77
2,28,2,19,77
2,29,2,18,78
2,30,2,15,81
2,31,2,14,82
2,32,2,13,83
2,33,1,14,83
2,34,1,13,84
2,35,1,12,85
2,36,1,11,86
2,37,1,11,86
2,38,1,10,87
2,39,0,9,89
2,40,0,9,89
2,41,0,8,90
2,42,0,8,90
2,43,0,6,92
2,44,0,6,92
2,45,0,5,93
2,46,0,4,94
2,47,0,4,94
2,48,0,3,95
2,49,0,2,96
2,50,0,2,96
2,51,0,1,97
2,52,0,1,97
2,53,0,1,97
2,54,0,1,97
2,55,0,1,97
2,56,0,1,97
2,57,0,1,97
2,58,0,0,98
2,59,0,0,98
2,60,0,0,98
3,0,100,1,0
3,1,100,1,0
3,2,100,1,0
3,3,100,1,0
3,4,100,1,0
3,5,98,3,0
3,6,95,6,0
3,7,95,5,1
3,8,92,7,2
3,9,89,10,2
3,10,84,14,3
3,11,76,20,5
3,12,69,24,8
3,13,64,28,9
3,14,56,34,11
3,15,46,43,12
3,16,36,46,19
3,17,30,47,24
3,18,24,52,25
3,19,16,53,32
3,20,14,51,36
3,21,12,52,37
3,22,9,48,44
3,23,9,46,46
3,24,7,42,52
3,25,6,37,58
3,26,5,35,61
3,27,4,33,64
3,28,4,27,70
