Country,Employment Status,Occupation_cat,sex,Highest education level completed,Ethnicity Simplified,Age,CRT2_Total_adj,BCRT_Total,CRT_Combined,NFC_Total,BFI_Extraversion,BFI_Agreeableness,BFI_Conscientiousness,BFI_Neuroticism,BFI_Openness,BFI_Attn_Pass
United Kingdom,Working part-time,Administrative and Secretarial Occupations,Male,Graduate degree (MA/MSc/MPhil/other),Asian,31,2.0,0.0,2.0,3.0,2.0,1.5,4.0,1.0,5.0,1
United Kingdom,Working full-time,Professional Occupations,Male,Undergraduate degree (BA/BSc/other),White,69,2.46619580726608,0.0,6.0,3.6666666666666665,5.0,5.0,5.0,1.5,3.0,1
United Kingdom,Working full-time,Associate Professional and Technical Occupations,Female,Undergraduate degree (BA/BSc/other),White,44,2.46619580726608,2.0,6.0,4.611111111111111,1.0,4.0,5.0,3.0,4.5,1
United Kingdom,Working full-time,Professional Occupations,Female,High school diploma/A-levels,White,44,2.46619580726608,1.0,3.0,3.7222222222222223,2.0,3.5,4.0,2.0,3.0,1
United Kingdom,Working full-time,"Managers, Directors and Senior Officials",Female,Undergraduate degree (BA/BSc/other),White,46,1.8665489518165201,0.0,2.0,3.7222222222222223,3.5,2.0,4.5,1.0,3.0,1
United States,Retired,Other,Female,Undergraduate degree (BA/BSc/other),White,30,2.86654895181652,2.0,7.0,4.444444444444445,3.0,3.5,5.0,3.0,5.0,1
United Kingdom,Unemployed and looking for work,Administrative and Secretarial Occupations,Female,High school diploma/A-levels,White,48,1.4661958072660801,2.0,3.0,4.388888888888889,2.0,4.0,5.0,3.0,3.0,1
United States,Working full-time,Sales and Customer Service Occupations,Male,Graduate degree (MA/MSc/MPhil/other),White,43,2.7330979036330403,1.0,5.0,4.5,2.5,5.0,5.0,3.0,4.0,1
United Kingdom,Retired,Professional Occupations,Female,Technical/community college,White,54,2.46619580726608,2.0,6.0,3.111111111111111,3.5,1.5,5.0,1.0,4.0,1
United States,Unemployed and looking for work,Other,Male,Undergraduate degree (BA/BSc/other),White,49,2.59964685544956,2.0,7.0,4.388888888888889,3.5,1.5,4.0,5.0,2.0,1
United Kingdom,Working full-time,"Managers, Directors and Senior Officials",Female,Undergraduate degree (BA/BSc/other),White,35,3.7330979036330403,1.0,5.0,2.8333333333333335,1.0,3.5,3.0,1.5,3.5,1
United Kingdom,Working full-time,Skilled Trades Occupations,Male,High school diploma/A-levels,White,38,1.4661958072660801,1.0,3.0,2.9444444444444446,3.5,3.5,5.0,3.0,3.0,1
United Kingdom,Retired,Associate Professional and Technical Occupations,Male,Graduate degree (MA/MSc/MPhil/other),White,46,3.59964685544956,4.0,5.0,3.9444444444444446,2.0,3.0,3.0,5.0,5.0,1
United Kingdom,Working full-time,Professional Occupations,Male,Undergraduate degree (BA/BSc/other),Asian,28,2.59964685544956,1.0,3.0,3.2777777777777777,3.0,4.0,3.0,2.5,4.5,1
United Kingdom,Working part-time,"Process, Plant and Machine Operatives",Female,Doctorate degree (PhD/other),White,53,1.8665489518165201,4.0,6.0,3.2777777777777777,1.0,1.5,5.0,4.0,3.5,1
United Kingdom,Working part-time,"Managers, Directors and Senior Officials",Female,Graduate degree (MA/MSc/MPhil/other),White,30,3.0,1.0,3.0,4.333333333333333,1.5,3.5,5.0,3.0,5.0,1
United States,Unemployed and looking for work,Professional Occupations,Female,High school diploma/A-levels,White,43,2.86654895181652,2.0,5.0,3.1666666666666665,2.0,3.0,4.5,1.5,3.5,1
United Kingdom,Working full-time,Sales and Customer Service Occupations,Male,Undergraduate degree (BA/BSc/other),White,41,2.7330979036330403,1.0,6.0,4.388888888888889,2.0,3.0,3.0,3.5,5.0,1
United Kingdom,Retired,Other,Male,Undergraduate degree (BA/BSc/other),Asian,43,0.46619580726608023,0.0,4.0,4.055555555555555,4.0,5.0,4.5,2.5,5.0,1
United States,Working full-time,Associate Professional and Technical Occupations,Female,Undergraduate degree (BA/BSc/other),White,42,2.46619580726608,1.0,3.0,3.2222222222222223,3.0,3.5,5.0,2.0,4.0,1
United Kingdom,Working full-time,Professional Occupations,Female,Undergraduate degree (BA/BSc/other),White,27,1.4661958072660801,2.0,4.0,3.3333333333333335,3.0,2.5,4.0,2.0,4.5,1
United States,Working full-time,"Managers, Directors and Senior Officials",Female,Undergraduate degree (BA/BSc/other),White,28,3.59964685544956,1.0,5.0,2.388888888888889,2.0,2.0,5.0,5.0,3.5,1
United Kingdom,Working full-time,Associate Professional and Technical Occupations,Female,Technical/community college,White,63,1.5996468554495602,0.0,4.0,3.5555555555555554,4.5,4.0,2.5,5.0,3.5,1
United States,Working full-time,Professional Occupations,Female,Undergraduate degree (BA/BSc/other),White,44,1.0,0.0,4.0,3.7777777777777777,5.0,4.0,4.5,2.5,2.5,1
United Kingdom,Working full-time,Associate Professional and Technical Occupations,Male,Undergraduate degree (BA/BSc/other),White,41,2.46619580726608,1.0,6.0,3.2777777777777777,1.5,3.5,5.0,3.0,4.0,1
United Kingdom,Working full-time,Sales and Customer Service Occupations,Male,Secondary education (e.g. GED/GCSE),White,39,1.4661958072660801,1.0,3.0,2.111111111111111,2.0,2.0,3.0,2.5,3.5,1
United Kingdom,Working full-time,"Managers, Directors and Senior Officials",Male,Undergraduate degree (BA/BSc/other),Asian,64,3.46619580726608,1.0,4.0,3.0,5.0,5.0,3.0,2.0,5.0,1
United Kingdom,Working part-time,Professional Occupations,Male,Undergraduate degree (BA/BSc/other),White,37,3.0,1.0,7.0,3.6666666666666665,2.0,1.0,4.5,1.5,4.5,1
United States,Unemployed and looking for work,Professional Occupations,Female,Secondary education (e.g. GED/GCSE),White,53,0.5996468554495602,0.0,3.0,3.8333333333333335,4.5,3.0,3.0,1.0,4.0,1
United Kingdom,Working part-time,Professional Occupations,Female,Undergraduate degree (BA/BSc/other),Black,37,1.5996468554495602,2.0,4.0,3.111111111111111,2.0,4.0,4.0,3.5,3.0,1
United States,Unemployed and looking for work,Sales and Customer Service Occupations,Male,Secondary education (e.g. GED/GCSE),White,33,0.86654895181652,2.0,3.0,2.611111111111111,1.0,3.0,5.0,3.0,5.0,1
United Kingdom,Other,Professional Occupations,Female,Secondary education (e.g. GED/GCSE),White,63,2.59964685544956,2.0,2.0,3.8333333333333335,1.0,4.5,5.0,2.0,5.0,1
United States,Working full-time,Professional Occupations,Female,Undergraduate degree (BA/BSc/other),Asian,41,1.73309790363304,2.0,4.0,3.5555555555555554,2.5,3.5,3.0,1.0,3.5,1
United States,Other,Sales and Customer Service Occupations,Male,Undergraduate degree (BA/BSc/other),White,27,1.4661958072660801,0.0,4.0,3.9444444444444446,2.0,3.5,4.5,3.0,4.5,1
United Kingdom,Working part-time,Administrative and Secretarial Occupations,Male,High school diploma/A-levels,White,60,2.86654895181652,4.0,4.0,3.8333333333333335,1.0,5.0,5.0,2.0,3.0,1
United States,Working full-time,"Managers, Directors and Senior Officials",Female,Undergraduate degree (BA/BSc/other),White,40,0.5996468554495602,1.0,2.0,2.4444444444444446,2.0,3.5,4.0,4.0,3.5,0
United Kingdom,Retired,Other,Female,Undergraduate degree (BA/BSc/other),White,41,1.4661958072660801,1.0,1.0,2.5555555555555554,1.5,4.0,3.0,1.5,3.0,1
United Kingdom,Other,Professional Occupations,Male,Graduate degree (MA/MSc/MPhil/other),White,33,0.5996468554495602,0.0,2.0,3.4444444444444446,4.0,2.0,3.0,4.5,3.0,1
United Kingdom,Working full-time,"Managers, Directors and Senior Officials",Female,Undergraduate degree (BA/BSc/other),White,54,2.0,2.0,7.0,3.888888888888889,3.5,5.0,5.0,4.5,3.5,1
United States,Working full-time,Professional Occupations,Female,Undergraduate degree (BA/BSc/other),White,35,1.8665489518165201,0.0,2.0,3.111111111111111,1.0,3.0,2.5,4.5,4.5,1
United Kingdom,Working full-time,"Process, Plant and Machine Operatives",Male,High school diploma/A-levels,White,54,3.59964685544956,2.0,6.0,2.0555555555555554,1.0,3.5,4.5,2.5,4.0,1
United Kingdom,Working full-time,Professional Occupations,Male,Doctorate degree (PhD/other),White,35,3.46619580726608,1.0,4.0,2.5555555555555554,4.5,2.5,4.5,1.0,1.5,1
United Kingdom,Working full-time,Skilled Trades Occupations,Female,Undergraduate degree (BA/BSc/other),Mixed,37,3.0,2.0,7.0,3.388888888888889,2.5,3.5,5.0,2.0,5.0,0
United Kingdom,Retired,Sales and Customer Service Occupations,Female,Undergraduate degree (BA/BSc/other),White,21,2.0,0.0,1.0,4.5,4.0,4.5,4.5,4.0,3.0,1
United Kingdom,Working full-time,"Managers, Directors and Senior Officials",Female,Graduate degree (MA/MSc/MPhil/other),White,49,3.59964685544956,2.0,4.0,2.8333333333333335,5.0,3.0,3.0,2.5,2.0,0
United States,Working full-time,Sales and Customer Service Occupations,Male,Technical/community college,White,55,2.7330979036330403,2.0,8.0,4.0,4.0,2.5,4.0,1.5,4.0,1
United States,Working full-time,Associate Professional and Technical Occupations,Male,Undergraduate degree (BA/BSc/other),White,37,2.46619580726608,2.0,5.0,3.888888888888889,2.5,3.0,3.0,1.5,4.5,1
United States,Working full-time,Skilled Trades Occupations,Female,Graduate degree (MA/MSc/MPhil/other),White,40,2.46619580726608,0.0,3.0,3.6666666666666665,1.5,4.0,3.0,4.0,4.0,1
United States,Working full-time,Sales and Customer Service Occupations,Male,Undergraduate degree (BA/BSc/other),White,58,3.59964685544956,1.0,6.0,3.3333333333333335,3.0,3.5,3.0,2.5,5.0,1
United Kingdom,Working full-time,Professional Occupations,Female,Graduate degree (MA/MSc/MPhil/other),White,61,-0.2669020963669599,3.0,2.0,3.7777777777777777,4.5,2.0,4.5,4.5,4.0,1
United Kingdom,Working full-time,Elementary Occupations,Male,Undergraduate degree (BA/BSc/other),White,44,2.59964685544956,2.0,5.0,2.888888888888889,2.0,4.5,5.0,2.0,3.5,1
United Kingdom,Working full-time,"Managers, Directors and Senior Officials",Female,Technical/community college,White,60,2.59964685544956,1.0,6.0,3.888888888888889,4.0,4.0,4.0,2.0,3.0,1
United Kingdom,Working full-time,Administrative and Secretarial Occupations,Male,Graduate degree (MA/MSc/MPhil/other),White,37,3.59964685544956,1.0,4.0,2.7222222222222223,2.5,2.5,3.0,2.5,4.0,1
United Kingdom,Working full-time,Professional Occupations,Female,Undergraduate degree (BA/BSc/other),White,65,1.4661958072660801,1.0,6.0,3.0,2.0,3.0,5.0,4.0,4.0,1
